block,set_id,seed,group,baseline,shown_A,shown_B,wh_A,wh_B,answer,verdict
crop2,p025+p026,47,"clean",SCALE,SCALE,CROP2,864x1184,864x1184,same,same
crop2,p013+dualuse_scarlett_johansson_black_dress_backview_night,48,"fail",SCALE,CROP2,SCALE,1248x832,1248x832,same,same
crop2,g012+g024,46,"clean",SCALE,CROP2,SCALE,896x1120,896x1120,same,same
crop2,g004+p001,47,"clean",SCALE,CROP2,SCALE,896x1152,896x1152,same,same
crop2,p013+p018,47,"clean",SCALE,SCALE,CROP2,1248x832,1248x832,same,same
crop2,dualuse_lp_beige_long_coat_menswear+dualuse_lp_floral_kimono_set,48,"clean",SCALE,SCALE,CROP2,832x1248,832x1248,same,same
crop2,p029+dualuse_man_black_suit_studio_nonceleb,48,"clean",SCALE,SCALE,CROP2,1248x832,1248x832,same,same
upscale,p022+g005,47,"clean",SCALE,NOSCALE,SCALE,672x1024,832x1248,same,same
crop2,p012+dualuse_queen_latifah_gown_stage,46,"fail",SCALE,CROP2,SCALE,832x1248,832x1248,same,same
upscale,g027+p011,48,"fail",SCALE,NOSCALE,SCALE,576x1024,768x1344,A,arm_better
upscale,p028+g015,47,"clean",SCALE,SCALE,NOSCALE,1248x832,1024x672,A,baseline_better
upscale,g014+p007,47,"clean",SCALE,SCALE,NOSCALE,896x1120,832x1024,same,same
crop2,dualuse_scarlett_johansson_black_dress_backview_night+dualuse_woman_top_denim_skirt_nonceleb,47,"fail",SCALE,SCALE,CROP2,832x1248,832x1248,same,same
crop2,dualuse_lp_floral_kimono_set+g005,47,"fail",SCALE,CROP2,SCALE,896x1120,896x1120,same,same
crop2,g014+p007,46,"clean",SCALE,SCALE,CROP2,896x1120,896x1120,same,same
upscale,p012+p025,47,"fail",SCALE,SCALE,NOSCALE,832x1248,672x1024,same,same
crop2,p022+dualuse_queen_latifah_gown_stage,46,"fail",SCALE,CROP2,SCALE,832x1248,832x1248,same,same
crop2,g005+p002,48,"fail",SCALE,SCALE,CROP2,896x1120,896x1120,same,same
upscale,g004+g005,46,"fail",SCALE,NOSCALE,SCALE,768x1024,896x1152,A,arm_better
crop2,g004+g005,46,"fail",SCALE,CROP2,SCALE,896x1152,896x1152,same,same
crop2,p013+dualuse_scarlett_johansson_black_dress_backview_night,46,"fail",SCALE,CROP2,SCALE,1248x832,1248x832,same,same
crop2,p019+dualuse_lp_plaid_overcoat_brown_suit,47,"clean",SCALE,CROP2,SCALE,1248x832,1248x832,same,same
crop2,dualuse_lp_beige_long_coat_menswear+g004,46,"clean",SCALE,CROP2,SCALE,832x1248,832x1248,same,same
crop2,dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,46,"clean",SCALE,CROP2,SCALE,832x1248,832x1248,same,same
upscale,p013+dualuse_scarlett_johansson_black_dress_backview_night,48,"fail",SCALE,NOSCALE,SCALE,1024x672,1248x832,A,arm_better
crop2,dualuse_navy_peacoat_onmodel+g030,47,"fail",SCALE,SCALE,CROP2,1024x1024,1024x1024,A,baseline_better
