stem,kind,category,route,mask_area_frac,confidence,soft_edge_frac,runtime_s,crop_w,crop_h,src_w,src_h,reason_codes,failed,target,src_path
p030,duo_sweep,,duo_biref_multiclass,0.229,0.881,0.03002,0.4,466,847,682,1024,birefnet_cached;subject_frac=0.31;clothes_conf=0.88;head_frac=0.064;hair_frac=0.032;skin_frac=0.018;select_region=off;noface_frac=0.25;soft_frac=0.0300;svg_paths=1;bbox=466x847;runtime_s=0.4,False,,test_set/people/p030.jpg
clothesonly_ts1g001_graphic_logo_tee,duo_sweep,,duo_biref_multiclass,0.333,0.087,0.01129,0.5,718,615,768,1024,birefnet_cached;subject_frac=0.33;clothes_conf=0.09;head_frac=0.000;hair_frac=0.000;skin_frac=0.000;select_region=off;noface_frac=0.33;soft_frac=0.0113;svg_paths=1;bbox=718x615;runtime_s=0.5,False,,v2/runs/ts2/inputs/clothesonly_ts1g001_graphic_logo_tee.jpg
clothesonly_ts1g008_plaid_flannel,duo_sweep,,duo_biref_multiclass,0.2887,0.902,0.01405,0.5,581,568,768,1024,birefnet_cached;subject_frac=0.29;clothes_conf=0.90;head_frac=0.000;hair_frac=0.000;skin_frac=0.000;select_region=off;noface_frac=0.29;soft_frac=0.0141;svg_paths=1;bbox=581x568;runtime_s=0.5,False,,v2/runs/ts2/inputs/clothesonly_ts1g008_plaid_flannel.jpg
clothesonly_ts1g010_plain_tee_ghost,duo_sweep,,duo_biref_multiclass,0.6248,0.907,0.0074,0.6,842,1024,853,1024,birefnet_cached;subject_frac=0.62;clothes_conf=0.91;head_frac=0.000;hair_frac=0.000;skin_frac=0.000;select_region=off;noface_frac=0.62;soft_frac=0.0074;svg_paths=1;bbox=842x1024;runtime_s=0.6,False,,v2/runs/ts2/inputs/clothesonly_ts1g010_plain_tee_ghost.jpg
clothesonly_ts1g023_plaid_mini_skirt_flat,duo_sweep,,duo_biref_multiclass,0.2405,0.017,0.01911,0.5,574,481,768,1024,birefnet_cached;subject_frac=0.24;clothes_conf=0.02;head_frac=0.000;hair_frac=0.000;skin_frac=0.000;select_region=off;noface_frac=0.24;soft_frac=0.0191;svg_paths=1;bbox=574x481;runtime_s=0.5,False,,v2/runs/ts2/inputs/clothesonly_ts1g023_plaid_mini_skirt_flat.jpg
clothesonly_ts1g026_metallica_text_tee_flat,duo_sweep,,duo_biref_multiclass,0.6352,0.722,0.00699,0.7,1009,1024,1009,1024,birefnet_cached;subject_frac=0.64;clothes_conf=0.72;head_frac=0.000;hair_frac=0.000;skin_frac=0.000;select_region=off;noface_frac=0.64;soft_frac=0.0070;svg_paths=1;bbox=1009x1024;runtime_s=0.7,False,,v2/runs/ts2/inputs/clothesonly_ts1g026_metallica_text_tee_flat.jpg
clothesonly_ts1g028_fine_stripe_shirt_ghost,duo_sweep,,duo_biref_multiclass,0.3436,0.902,0.02026,0.5,534,762,819,1024,birefnet_cached;subject_frac=0.34;clothes_conf=0.90;head_frac=0.000;hair_frac=0.000;skin_frac=0.000;select_region=off;noface_frac=0.34;soft_frac=0.0203;svg_paths=1;bbox=534x762;runtime_s=0.5,False,,v2/runs/ts2/inputs/clothesonly_ts1g028_fine_stripe_shirt_ghost.jpg
dualuse_emma_watson_black_blazer_armscrossed,duo_sweep,,duo_biref_multiclass,0.1725,0.896,0.01684,1.0,659,1043,1536,1060,birefnet_cached;subject_frac=0.24;clothes_conf=0.90;head_frac=0.041;hair_frac=0.018;skin_frac=0.024;select_region=off;noface_frac=0.20;soft_frac=0.0168;svg_paths=1;bbox=659x1043;runtime_s=1.0,False,,v2/runs/ts2/inputs/dualuse_emma_watson_black_blazer_armscrossed.jpg
dualuse_gal_gadot_blue_dress_redcarpet,duo_sweep,,duo_biref_multiclass,0.1305,0.878,0.02761,0.7,452,1446,807,1536,birefnet_cached;subject_frac=0.25;clothes_conf=0.88;head_frac=0.028;hair_frac=0.021;skin_frac=0.093;select_region=off;noface_frac=0.23;soft_frac=0.0276;svg_paths=2;bbox=452x1446;runtime_s=0.7,False,,v2/runs/ts2/inputs/dualuse_gal_gadot_blue_dress_redcarpet.jpg
dualuse_hugh_jackman_grey_suit_outdoor,duo_sweep,,duo_biref_multiclass,0.2257,0.873,0.01832,0.9,566,1477,1000,1500,birefnet_cached;subject_frac=0.25;clothes_conf=0.87;head_frac=0.014;hair_frac=0.005;skin_frac=0.010;select_region=off;noface_frac=0.24;soft_frac=0.0183;svg_paths=1;bbox=566x1477;runtime_s=0.9,False,,v2/runs/ts2/inputs/dualuse_hugh_jackman_grey_suit_outdoor.jpg
dualuse_lp_beige_long_coat_menswear,duo_sweep,,duo_biref_multiclass,0.2324,0.831,0.01318,1.0,572,1532,1024,1536,birefnet_cached;subject_frac=0.25;clothes_conf=0.83;head_frac=0.011;hair_frac=0.003;skin_frac=0.001;select_region=off;noface_frac=0.23;soft_frac=0.0132;svg_paths=1;bbox=572x1532;runtime_s=1.0,False,,v2/runs/ts2/inputs/dualuse_lp_beige_long_coat_menswear.jpg
dualuse_lp_floral_kimono_set,duo_sweep,,duo_biref_multiclass,0.3176,0.86,0.01685,1.2,893,1508,1229,1536,birefnet_cached;subject_frac=0.33;clothes_conf=0.86;head_frac=0.007;hair_frac=0.001;skin_frac=0.001;select_region=off;noface_frac=0.32;soft_frac=0.0168;svg_paths=2;bbox=893x1508;runtime_s=1.2,False,,v2/runs/ts2/inputs/dualuse_lp_floral_kimono_set.jpg
dualuse_lp_plaid_overcoat_brown_suit,duo_sweep,,duo_biref_multiclass,0.2492,0.852,0.01853,1.0,725,1470,1200,1500,birefnet_cached;subject_frac=0.25;clothes_conf=0.85;head_frac=0.005;hair_frac=0.001;skin_frac=0.000;select_region=off;noface_frac=0.25;soft_frac=0.0185;svg_paths=2;bbox=725x1470;runtime_s=1.0,False,,v2/runs/ts2/inputs/dualuse_lp_plaid_overcoat_brown_suit.jpg
dualuse_man_black_suit_studio_nonceleb,duo_sweep,,duo_biref_multiclass,0.1583,0.826,0.01544,0.8,475,1347,1024,1536,birefnet_cached;subject_frac=0.18;clothes_conf=0.83;head_frac=0.013;hair_frac=0.003;skin_frac=0.007;select_region=off;noface_frac=0.17;soft_frac=0.0154;svg_paths=1;bbox=475x1347;runtime_s=0.8,False,,v2/runs/ts2/inputs/dualuse_man_black_suit_studio_nonceleb.jpg
dualuse_navy_peacoat_onmodel,duo_sweep,,duo_biref_multiclass,0.1449,0.836,0.02412,0.6,356,1080,1080,1080,birefnet_cached;subject_frac=0.16;clothes_conf=0.84;head_frac=0.009;hair_frac=0.002;skin_frac=0.004;select_region=off;noface_frac=0.15;soft_frac=0.0241;svg_paths=1;bbox=356x1080;runtime_s=0.6,False,,v2/runs/ts2/inputs/dualuse_navy_peacoat_onmodel.jpg
dualuse_queen_latifah_gown_stage,duo_sweep,,duo_biref_multiclass,0.3011,0.833,0.02259,1.0,794,1360,1024,1536,birefnet_cached;subject_frac=0.36;clothes_conf=0.83;head_frac=0.037;hair_frac=0.021;skin_frac=0.024;select_region=off;noface_frac=0.33;soft_frac=0.0226;svg_paths=1;bbox=794x1360;runtime_s=1.0,False,,v2/runs/ts2/inputs/dualuse_queen_latifah_gown_stage.jpg
dualuse_scarlett_johansson_black_dress_backview_night,duo_sweep,,duo_biref_multiclass,0.1039,0.811,0.03755,0.7,417,1330,980,1470,birefnet_cached;subject_frac=0.18;clothes_conf=0.81;head_frac=0.026;hair_frac=0.016;skin_frac=0.048;select_region=off;noface_frac=0.15;soft_frac=0.0376;svg_paths=3;bbox=417x1330;runtime_s=0.7,False,,v2/runs/ts2/inputs/dualuse_scarlett_johansson_black_dress_backview_night.jpg
dualuse_woman_top_denim_skirt_nonceleb,duo_sweep,,duo_biref_multiclass,0.0578,0.752,0.02394,0.8,470,1177,1024,1536,birefnet_cached;subject_frac=0.14;clothes_conf=0.75;head_frac=0.029;hair_frac=0.022;skin_frac=0.050;select_region=off;noface_frac=0.11;soft_frac=0.0239;svg_paths=5;bbox=470x1177;runtime_s=0.8,False,,v2/runs/ts2/inputs/dualuse_woman_top_denim_skirt_nonceleb.jpg
dualuse_zendaya_white_blazer_skirt,duo_sweep,,duo_biref_multiclass,0.1224,0.874,0.01972,0.8,434,1389,1024,1536,birefnet_cached;subject_frac=0.16;clothes_conf=0.87;head_frac=0.028;hair_frac=0.022;skin_frac=0.012;select_region=off;noface_frac=0.13;soft_frac=0.0197;svg_paths=1;bbox=434x1389;runtime_s=0.8,False,,v2/runs/ts2/inputs/dualuse_zendaya_white_blazer_skirt.jpg
