stage,arm,pair_idx,pair,garment_sim,identity_cos,pose_err,bg_psnr
grid,qwen_2511,5,p008xg024,0.012559002571545054,0.03896818310022354,0.7497888111954557,13.85447065122447
grid,qwen_2511,6,p013xg004,0.05059293545511821,0.7818607091903687,0.28456810667127647,12.48735440536625
grid,qwen_2511,7,p003xg011,0.25186028379879344,0.8656124472618103,0.07733954454187361,18.850419600904445
grid,qwen_2511,8,p009xg002,0.01501287594011418,0.9766770601272583,0.11831352137769192,13.840333025044664
grid,qwen_2511,9,p010xg001,0.8117785401426444,0.841376781463623,0.12255679928677277,15.212063950083223
grid,qwen_2511,10,p011xg028,0.19393575802978869,0.9793438911437988,0.0758554976479664,15.849107325645178
grid,qwen_2511,11,p012xg007,0.011549434118329809,0.9090149998664856,0.17620226917959364,14.019537751891445
grid,seedream5_lite,0,p001xg015,0.09151328892005738,0.3646768629550934,0.0628419533116584,20.47306408810107
grid,seedream5_lite,0,p001xg015,0.15559981117202806,0.41867953538894653,0.08130714162268657,19.264291215672657
grid,seedream5_lite,1,p002xg022,0.0004041833493516798,0.7532751560211182,0.02913036029404096,21.887131418551302
grid,seedream5_lite,1,p002xg022,0.009822799742492812,0.8091241717338562,0.028461333506102394,24.969556053557174
grid,seedream5_lite,2,p005xg023,0.5481642681910727,0.6336950063705444,0.03167434658622362,25.99167474868953
grid,seedream5_lite,2,p005xg023,0.5763777885277553,0.706866979598999,0.026592244333618016,24.59452160873386
grid,seedream5_lite,3,p006xg006,0.1498699589622981,0.3756076395511627,0.04811732925679143,20.216101452031502
grid,seedream5_lite,3,p006xg006,0.18566572220913574,0.34814804792404175,0.052149626397727716,19.658428888525055
grid,seedream5_lite,4,p007xg019,-0.008154517794636626,0.8573517203330994,0.038954766693064184,16.157688281672915
grid,seedream5_lite,4,p007xg019,-0.01037820758327872,0.8563300371170044,0.06490217583117207,16.271499808765697
grid,seedream5_lite,5,p008xg024,0.14217085214572003,0.5808252096176147,0.17669928404468702,17.84292880443704
grid,seedream5_lite,5,p008xg024,0.11931783340443662,0.7796112298965454,0.03229655862882257,18.69168673253708
grid,seedream5_lite,6,p013xg004,0.25223623148845264,0.81836998462677,0.1594211179977878,21.686324784297714
grid,seedream5_lite,6,p013xg004,0.33467270779793734,0.8489946126937866,0.15502258196424676,18.672765891428938
grid,seedream5_lite,7,p003xg011,0.057940656642648934,0.721377432346344,0.04039318818473448,25.73146039816047
grid,seedream5_lite,7,p003xg011,0.0571342777766702,0.5222185850143433,0.04135947014076729,23.577814840381386
grid,seedream5_lite,8,p009xg002,0.025623163158311237,0.836388111114502,0.18187110138757376,13.015887094269837
grid,seedream5_lite,8,p009xg002,0.029843472797537074,0.8077647686004639,0.14302218733385175,14.102240072143552
grid,seedream5_lite,9,p010xg001,0.539020996576181,0.6767218112945557,0.025164198266665543,22.063346068921
grid,seedream5_lite,9,p010xg001,0.476688053252927,0.6243089437484741,0.027846342728605623,20.60501811302778
grid,seedream5_lite,10,p011xg028,0.27865577093209265,0.869042158126831,0.045206228210319735,23.007320639778076
grid,seedream5_lite,10,p011xg028,0.24351497245986234,0.8225053548812866,0.048539448224881,21.03716780260384
grid,seedream5_lite,11,p012xg007,0.3831507568301436,0.7032317519187927,0.036547323091506725,22.942612171702308
grid,seedream5_lite,11,p012xg007,0.1676955972504457,0.7276712656021118,0.03303161946228925,24.18292969614398
grid,seedream_qwen_refine,0,p001xg015,0.05277658856995096,0.3514120578765869,0.055192212805929,20.397857029945428
grid,seedream_qwen_refine,1,p002xg022,0.0008105088641960592,0.7548735737800598,0.0294089383771321,21.931648836396874
grid,seedream_qwen_refine,2,p005xg023,0.5287851228495135,0.5760977864265442,0.022909761628950975,24.817568922488
grid,seedream_qwen_refine,3,p006xg006,0.16093151352220988,0.3590187430381775,0.049717895074051784,20.435519935169552
grid,seedream_qwen_refine,4,p007xg019,-0.007485332372536096,0.8272479176521301,0.030551309499787068,16.315840399915214
grid,seedream_qwen_refine,5,p008xg024,0.04110282464467686,0.5584084987640381,0.18389812335749736,18.051404714500734
grid,seedream_qwen_refine,6,p013xg004,0.2919697468129152,0.7365047931671143,0.1528117137942982,21.479911810292872
grid,seedream_qwen_refine,7,p003xg011,0.045827532073514095,0.6566232442855835,0.03773604553133437,24.767211483341654
grid,seedream_qwen_refine,8,p009xg002,0.014552805856167528,0.8068281412124634,0.18125906434064082,13.024743319951774
grid,seedream_qwen_refine,9,p010xg001,0.24236262318170418,0.7171833515167236,0.024565010506764066,20.439750646333536
grid,seedream_qwen_refine,10,p011xg028,0.26463764306527565,0.8786628246307373,0.07136042656303031,22.499502070010617
grid,seedream_qwen_refine,11,p012xg007,0.06734958370301505,0.7006285190582275,0.03413023244968697,22.889097171267736
holdout,fashn_v16,0,p004xg010,0.03976530667519831,0.9645859003067017,0.026764355304748976,36.051515028406094
holdout,fashn_v16,1,p014xg008,0.06015422292934696,0.992336630821228,0.03063317344793411,27.378498862780862
holdout,fashn_v16,2,p015xg026,0.00701280843624597,0.9829302430152893,0.05119194113914379,24.931251541863855
holdout,fashn_v16,3,p016xg014,0.0014401385194177105,0.9114958643913269,0.09907507831679906,34.72180083794061
holdout,fashn_v16,4,p017xg029,0.05133426764212291,0.9770407676696777,0.02414089834117025,28.185711800584468
holdout,fashn_v16,5,p018xg027,-0.008191598220088336,0.9671541452407837,0.053737148687686025,27.692034905156984
holdout,fashn_v16,6,p019xg017,0.14821990348576855,0.9829877018928528,0.043723924791165485,24.737818622681928
holdout,fashn_v16,7,p020xg016,9.758602243224346e-05,0.9632607698440552,,37.87823301677307
holdout,fashn_v16,8,p021xg012,0.10041011042279704,0.9866564273834229,0.07010291357157074,20.310771658698318
holdout,fashn_v16,9,p022xg021,0.003867831921475338,0.9764957427978516,0.03933763535681298,32.2187217472415
holdout,fashn_v16,10,p023xg018,0.36093035234404275,0.9850454926490784,0.10724051902696208,21.889835513678104
