set_id,seed,vei_verdict,best_arm,report_example
p024+p029,46,clean,VEi,
p024+p029,47,clean,VEi,
p024+p029,48,clean,VEi,
p025+p030,46,clean,VEi,
p025+p030,47,mid,VEi,
p025+p030,48,mid,VEi,
p026+dualuse_emma_watson_black_blazer_armscrossed,46,clean,VEi,
p026+dualuse_emma_watson_black_blazer_armscrossed,47,clean,VEi,
p026+dualuse_emma_watson_black_blazer_armscrossed,48,clean,VEi,
p027+dualuse_gal_gadot_blue_dress_redcarpet,46,clean,VEi,
p027+dualuse_gal_gadot_blue_dress_redcarpet,47,clean,VEi,
p027+dualuse_gal_gadot_blue_dress_redcarpet,48,clean,VEi,
p028+dualuse_hugh_jackman_grey_suit_outdoor,46,mid,VEi,
p028+dualuse_hugh_jackman_grey_suit_outdoor,47,clean,VEi,
p028+dualuse_hugh_jackman_grey_suit_outdoor,48,mid,VEi,
p029+dualuse_man_black_suit_studio_nonceleb,46,clean,VEi,
p029+dualuse_man_black_suit_studio_nonceleb,47,clean,VEi,
p029+dualuse_man_black_suit_studio_nonceleb,48,clean,VEi,
p030+dualuse_queen_latifah_gown_stage,46,clean,VEi,
p030+dualuse_queen_latifah_gown_stage,47,clean,VEi,
p030+dualuse_queen_latifah_gown_stage,48,clean,VEi,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,46,fail,VEi,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,47,clean,VEi,
dualuse_emma_watson_black_blazer_armscrossed+dualuse_scarlett_johansson_black_dress_backview_night,48,clean,VEi,
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,46,clean,VEi,
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,47,fail,VEi,
dualuse_gal_gadot_blue_dress_redcarpet+dualuse_woman_top_denim_skirt_nonceleb,48,clean,VEi,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,46,mid,VEi,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,47,mid,VEi,
dualuse_hugh_jackman_grey_suit_outdoor+dualuse_zendaya_white_blazer_skirt,48,mid,VEi,
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,46,clean,VEi,
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,47,clean,VEi,
dualuse_man_black_suit_studio_nonceleb+dualuse_lp_beige_long_coat_menswear,48,clean,VEi,
dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,46,clean,VEi,
dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,47,clean,VEi,
dualuse_queen_latifah_gown_stage+dualuse_lp_floral_kimono_set,48,clean,VEi,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,46,clean,VEi,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,47,clean,VEi,
dualuse_scarlett_johansson_black_dress_backview_night+dualuse_lp_navy_quarterzip_knit_LOWRES,48,clean,VEi,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,46,fail,VEi,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,47,fail,VEi,
dualuse_woman_top_denim_skirt_nonceleb+dualuse_lp_plaid_overcoat_brown_suit,48,clean,VEi,yes
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,46,clean,VEi,
dualuse_zendaya_white_blazer_skirt+dualuse_navy_peacoat_onmodel,47,clean,VEi,
