set_id,person,garment_source,arm,rank,tier,counted
"p007+p030","p007","p030","D2O","5","top","yes"
"p007+p030","p007","p030","D3O","6","top","yes"
"p007+p030","p007","p030","D1hB","7","top","yes"
"p007+p030","p007","p030","D2B","8","top","yes"
"p007+p030","p007","p030","D3B","9","top","yes"
"p007+p030","p007","p030","BALD_raw","10","out","no"
"p026+p004","p026","p004","control","1","top","yes"
"p026+p004","p026","p004","BC_klein","2","top","yes"
"p026+p004","p026","p004","BALD_raw","3","top","yes"
"p026+p004","p026","p004","D1hO","4","top","yes"
"p026+p004","p026","p004","D2O","5","top","yes"
"p026+p004","p026","p004","D3O","6","top","yes"
"p026+p004","p026","p004","D1hB","7","top","yes"
"p026+p004","p026","p004","D2B","8","top","yes"
"p026+p004","p026","p004","D3B","9","top","yes"
"p026+p004","p026","p004","QX_qwen_p1","10","out","no"
"p009+p014","p009","p014","control","1","top","yes"
"p009+p014","p009","p014","BC_klein","2","top","yes"
"p009+p014","p009","p014","D1hO","3","top","yes"
"p009+p014","p009","p014","D2O","4","top","yes"
"p009+p014","p009","p014","D3O","5","top","yes"
"p009+p014","p009","p014","D1hB","6","top","yes"
"p009+p014","p009","p014","D2B","7","top","yes"
"p009+p014","p009","p014","D3B","8","top","yes"
"p009+p014","p009","p014","QX_qwen_p1","9","out","no"
"p009+p014","p009","p014","BALD_raw","10","out","no"
"HD_p021","dualuse_emma_watson_black_blazer_armscrossed","p021","D1hB","1","top","yes"
"HD_p021","dualuse_emma_watson_black_blazer_armscrossed","p021","BC_klein","2","top","yes"
"HD_p021","dualuse_emma_watson_black_blazer_armscrossed","p021","D2B","3","top","yes"
"HD_p021","dualuse_emma_watson_black_blazer_armscrossed","p021","D3B","4","top","yes"
"HD_p021","dualuse_emma_watson_black_blazer_armscrossed","p021","QX_qwen_p1","5","top","yes"
"HD_p021","dualuse_emma_watson_black_blazer_armscrossed","p021","BALD_raw","6","out","no"
"HD_p021","dualuse_emma_watson_black_blazer_armscrossed","p021","D1hO","7","out","no"
"HD_p021","dualuse_emma_watson_black_blazer_armscrossed","p021","D2O","8","out","no"
"HD_p021","dualuse_emma_watson_black_blazer_armscrossed","p021","D3O","9","out","no"
"HD_p021","dualuse_emma_watson_black_blazer_armscrossed","p021","control","10","out","no"
"HD_p023","dualuse_lp_floral_kimono_set","p023","QX_qwen_p1","1","mid","yes"
"HD_p023","dualuse_lp_floral_kimono_set","p023","control","2","out","no"
"HD_p023","dualuse_lp_floral_kimono_set","p023","BC_klein","3","out","no"
"HD_p023","dualuse_lp_floral_kimono_set","p023","BALD_raw","4","out","no"
"HD_p023","dualuse_lp_floral_kimono_set","p023","D1hO","5","out","no"
"HD_p023","dualuse_lp_floral_kimono_set","p023","D2O","6","out","no"
"HD_p023","dualuse_lp_floral_kimono_set","p023","D3O","7","out","no"
"HD_p023","dualuse_lp_floral_kimono_set","p023","D1hB","8","out","no"
"HD_p023","dualuse_lp_floral_kimono_set","p023","D2B","9","out","no"
"HD_p023","dualuse_lp_floral_kimono_set","p023","D3B","10","out","no"
"HD_dualuse_zendaya_white_blazer_skirt","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","BC_klein","1","top","yes"
"HD_dualuse_zendaya_white_blazer_skirt","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","D1hB","2","top","yes"
"HD_dualuse_zendaya_white_blazer_skirt","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","control","3","top","yes"
"HD_dualuse_zendaya_white_blazer_skirt","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","D2B","4","top","yes"
"HD_dualuse_zendaya_white_blazer_skirt","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","D3B","5","top","yes"
"HD_dualuse_zendaya_white_blazer_skirt","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","QX_qwen_p1","6","top","yes"
"HD_dualuse_zendaya_white_blazer_skirt","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","D3O","7","out","no"
"HD_dualuse_zendaya_white_blazer_skirt","dualuse_queen_latifah_gown_stage","dualuse_zendaya_white_blazer_skirt","D2O","8","out","no"
